Namuna,Qatlam (sm),Mexanik tarkib,pH,Gumus (%),Tuproq EC (mS/cm),Tuproq zichligi (g/sm3),DNS (%),N (mg/kg),P (mg/kg),K (mg/kg),Mg (mg/kg),S (mg/kg),Fe (mg/kg),Zn (mg/kg),Mn (mg/kg),Cu (mg/kg),B (mg/kg),Ekin
NMNX-1592,0-20 sm,Gill,6.41,0.85,1.62,1.35,22.55,49.7,27.61,380.1,365.48,42.81,10.22,1.09,8.88,0.62,1.51,Bug'doy
NTXM-155,0-20 sm,Gill,8.68,1.41,4.92,1.59,25.75,11.47,9.07,292.06,271.74,30.1,11.37,2.63,8.22,1.08,2.06,Bug'doy
TSPD-2004,0-20 sm,Gill,6.96,1.04,1.4,1.49,21.27,45.9,26.42,384.3,368.9,38.21,8.2,0.88,7.17,1.02,1.12,Bug'doy
,0-20 sm,Gill,8.8,2.26,4.87,1.61,14.34,26.13,16.47,392.19,,38.58,11.7,3.54,7.8,0.77,1.02,Bug'doy
TSPD-2005,0-20 sm,Gill,7.54,0.61,3.32,1.39,22.84,33.29,21.44,351.48,332.12,34.73,10.53,3.93,8.76,0.97,3.03,Bug'doy
,0-20 sm,Gill,8.59,1.08,4.47,1.46,13.95,33.49,21.15,333.82,296.75,41.98,9.95,1.39,7.43,0.33,2.37,Bug'doy
NTTM-118,0-20 sm,Gill,6.34,1.04,2.29,1.62,25.69,27.31,16.69,331.55,,31.7,6.7,1.81,8.12,0.48,1.37,Bug'doy
NMNX-1232,0-20 sm,Gill,8.6,2.12,3.86,1.61,24.83,26.06,15.13,318.86,311.86,38.33,11.69,1.49,,1.11,0.93,Bug'doy
NMNX-137,0-20 sm,Gill,8.74,0.81,4.85,1.53,24.14,19.03,10.32,314.16,294.48,32.69,10.2,3.43,7.18,1,1.45,Bug'doy
NMNX-138,0-20 sm,Gill,7.67,1.07,3.12,1.54,17.44,35.61,21.49,370.75,356.68,39.37,9.57,1.86,7.18,0.96,2.24,Bug'doy
NMNT-139,0-20 sm,Gill,7.07,1.57,3.87,1.46,21.61,48.02,27.17,361.46,329.66,37.45,9.56,1.29,9.72,0.59,1.36,Bug'doy
,0-20 sm,Gill,8.39,1.48,4.15,1.56,24.76,30.19,21.28,381.17,355.43,30.76,11.8,3.37,6.18,0.43,1.42,Bug'doy
NMNX-981,0-20 sm,Gill,8.81,2.24,4.77,1.62,29.59,20.61,14.97,327.39,277.54,38.48,9.44,2.11,9.26,0.53,1.65,Bug'doy
NTXM-147,0-20 sm,Gill,8.66,0.84,4.9,1.45,25.07,51.04,28.91,389.27,369.91,31.96,8.7,1.32,8.27,1.15,1.72,Bug'doy
NMNX-982,0-20 sm,Gill,8.11,0.89,1.2,1.38,15.37,59.5,35.09,469.33,424.04,41.25,10.06,2.65,8.2,1.17,1.74,Bug'doy
,0-20 sm,Gill,7.16,1.79,4.83,1.58,24.7,30.57,19.42,361.05,334.49,30.73,8.54,0.76,8.49,0.84,1.82,Bug'doy
NTXM-148,0-20 sm,Gill,6.82,1.31,3.11,1.31,15.23,41.08,23.13,317.75,285.9,38.92,6.87,1.04,7.86,0.79,1.78,Bug'doy
NMNX-140,0-20 sm,Gill,8.64,1.92,4.97,1.58,18.57,19.02,11.22,288.56,278.67,41.42,8.19,3.99,,1.1,2.32,Bug'doy
NTXM-149,0-20 sm,Gill,8.9,,3.97,1.57,11.59,12.28,9.4,339.29,323.29,31.19,6.62,2.55,6,1.22,,Bug'doy
NTTM-110,0-20 sm,Gill,8.16,,1.98,1.43,18.32,48.81,28.29,404.6,377.98,32.06,5.94,2.58,9.79,0.81,1.48,Bug'doy
NTXM-149,0-20 sm,Gill,7.48,0.65,4.33,1.52,19.1,42.11,24.95,380.57,352.37,33.45,9.38,3.15,8.75,0.59,1.33,Bug'doy
NMNX-141,0-20 sm,Gill,8.24,1.39,3.27,1.59,13.1,25.22,16.46,321.88,318.15,34.96,,0.98,8.79,1.16,2.86,Bug'doy
NMNT-142,0-20 sm,Gill,6.28,1.6,3.07,1.47,16.26,40.41,23.29,340.4,347.28,30.54,8.08,0.51,7.35,0.63,2.2,Bug'doy
NMNX-984,0-20 sm,Gill,7.29,0.81,1,1.41,29.15,42.5,23.59,386.64,,36.73,10.29,3.93,6.98,0.82,2.99,Bug'doy
NMNX-1105,0-20 sm,Gill,8.6,2.06,3.28,1.56,15.76,26.6,16.3,349.39,320.92,32.54,,2.52,9.67,0.59,,Bug'doy
NTXM-150,0-20 sm,Gill,8.86,1.37,4.01,1.62,25.21,14.67,11.84,323.74,322.42,43.34,7.57,3.67,5.72,0.76,2.48,Bug'doy
NTXM-151,0-20 sm,Gill,8.16,2.23,3.77,1.53,17.65,20.96,12.66,342.94,325.65,31.73,8.68,3.77,10.91,1.07,2.9,Bug'doy
NMNT-143,0-20 sm,Gill,7.29,0.74,2.69,1.63,19.82,35.9,17.77,358.04,327.99,34.4,10.6,0.92,10.02,1.2,1.5,Bug'doy
NTTM-112,0-20 sm,Gill,7.95,1.85,3.75,1.62,22.37,12.49,10.87,281.62,287.9,38.29,9.59,1.58,6.18,0.6,2.91,Bug'doy
NMNX-985,0-20 sm,Gill,7.73,2.04,2.7,1.49,13.8,53.36,27.9,379.9,345.05,34.83,9.4,3.91,7.08,1.05,0.93,Bug'doy
NMNX-1106,0-20 sm,Gill,8.22,2.05,4.11,1.48,20.07,22.71,12.81,326.05,314.86,35.29,7.38,2.25,,1.07,2.2,Bug'doy
NTXM-152,0-20 sm,Gill,7.81,1.44,2.53,1.58,19.45,42.84,23.43,387.59,362.94,35.04,9.59,1.32,6.63,1,1.72,Bug'doy
,0-20 sm,Gill,8.62,,2.7,1.33,19.42,26.76,18.2,345.57,330.07,35.88,9.76,3.55,,1.34,2.37,Bug'doy
,0-20 sm,Gill,8.06,2.05,1.55,1.29,26.31,39.35,23.26,400.6,,31.2,12.47,1.96,10.23,0.84,1.2,Bug'doy
NTXM-153,0-20 sm,Gill,8.19,1.41,3.86,1.48,25.23,19.63,13.34,342.67,318.83,43.26,,0.52,6.33,0.67,2.31,Bug'doy
NMNT-145,0-20 sm,Gill,6.5,1.52,3.42,1.62,15.19,24.98,13.2,304.65,281.9,38.86,7.55,3.41,10.23,1.17,0.7,Bug'doy
NMNX-1108,0-20 sm,Gill,6.87,1.81,2.79,1.52,11.63,48.5,26.5,402.22,359.04,40.35,10.14,0.96,9.61,0.81,2.03,Bug'doy
NTTM-115,0-20 sm,Gill,7.02,2.02,3.66,1.46,17.52,53.12,29.37,431.57,372.45,37.4,12.68,1.35,7.88,0.87,2.84,Bug'doy
TSPD-2003,0-20 sm,Gill,8.44,1.44,4.52,1.63,13.07,16.31,13.04,349.58,295.3,42.1,12.49,2.18,6.93,0.91,2.48,Bug'doy
,0-20 sm,Gill,6.74,,2.59,1.49,14.11,55.46,29.72,400.04,395.49,42.62,8.73,3.43,10,1.13,1.18,Bug'doy
TSPD-2004,0-20 sm,Gill,8.48,1.57,3.73,1.46,17.19,39.33,23.55,387.57,359.32,35.06,6.67,0.98,8.68,0.97,,Bug'doy
Karta-115,0-20 sm,Gill,8.98,0.63,4.95,1.65,19.35,11.97,10.58,327.57,310.24,37.65,11.74,3.92,8.6,0.6,1.23,Bug'doy
NMNX-1713,0-20 sm,Gill,8.53,1.78,4.07,1.63,13.13,16.46,13.58,330.77,269.56,42.74,13.81,1.44,8.73,1.12,1.94,Bug'doy
NTXM-156,0-20 sm,Gill,7.53,0.62,3.5,1.54,20.36,54.45,29.28,398.19,371.64,38.37,8.61,1.56,9.36,1.14,0.94,Bug'doy
NTTM-118,0-20 sm,Gill,7.55,2.41,1.36,1.39,29.31,45.63,26.7,370.52,341.69,30.51,9.58,2.38,9.51,,2.4,Bug'doy
NMNX-1955,0-20 sm,Gill,8.93,1.8,4.95,1.58,16.54,14.7,11.5,336.09,321.54,42.4,9.6,1.22,8.02,1.05,1.71,Bug'doy
NTXM-157,0-20 sm,Gill,6.46,1.24,1.63,1.45,20.05,49.11,27.94,383.41,355.45,31.73,12.99,0.69,7.61,1.18,,Bug'doy
Karta-117,0-20 sm,Gill,8.41,1.6,1.27,1.6,23.92,42.26,23.25,417.54,402.58,32.78,7.21,0.78,8.51,1.13,2.18,Bug'doy
,0-20 sm,Gill,6.94,1.63,3.06,1.35,18.48,65.89,34.47,430.54,388.46,39.44,7.71,3.76,9.64,0.96,2.09,Bug'doy
,0-20 sm,Gill,6.14,0.89,1.56,1.41,14.16,66.01,33.87,401.08,342.05,31.93,9.71,0.78,,0.96,1.24,Bug'doy
,0-20 sm,Gill,7.05,1.65,4.8,1.63,20.29,28.36,16.84,349.45,352.61,42.01,8.98,2.23,9.56,0.33,,Bug'doy
NTXM-147,0-20 sm,Gill,6.6,1.86,3.89,1.58,16.16,31.28,17.68,356.02,338.95,31.27,5.66,3.26,8.49,0.71,1.39,Bug'doy
NTTM-109,0-20 sm,Gill,6.19,1.4,3.13,1.37,23.26,51.25,28.22,382.74,379.5,38.67,10.01,3.64,8.92,0.9,2.55,Bug'doy
NMNX-1223,0-20 sm,Gill,7.24,1.29,0.92,1.31,13.82,51.3,26.34,395.16,360.34,37.31,10.82,2.72,8.49,1.01,2.88,Bug'doy
NMNX-1344,0-20 sm,Gill,7.28,0.98,4.51,1.49,18.56,50.96,28.07,388.71,371.62,35.08,6.8,3.31,7.04,0.99,,Bug'doy
NTXM-148,0-20 sm,Gill,8.14,2.03,3.79,1.53,26.01,30.28,16.74,326.06,310.15,33.07,6.13,3.16,9.9,,,Bug'doy
NMNX-140,0-20 sm,Gill,6.88,1.21,2.45,1.46,20.97,53.15,28.83,371.85,349.94,45.18,10.91,1.12,8.11,,1.73,Bug'doy
NTTM-110,0-20 sm,Gill,7.06,2.31,4.49,1.64,14.05,22.67,13.85,292.72,306.79,31.13,9.2,1.2,6.61,1.17,,Bug'doy
NMNX-1224,0-20 sm,Gill,8.65,1.01,4.56,1.48,14.61,37.66,23.24,378.44,331.51,46.22,9.99,2.48,8.93,1.13,1.76,Bug'doy
NTXM-149,0-20 sm,Gill,8.14,0.76,4.42,1.42,18.14,28.79,17.8,393.53,363.76,40.5,7,3.42,7.54,0.83,1.48,Bug'doy
,0-20 sm,Gill,7.28,1.91,4.31,1.61,21.82,21.55,11.85,312.03,320.09,30.21,12.29,,6.17,0.63,0.96,Bug'doy
NMNT-142,0-20 sm,Gill,8.03,0.91,4.59,1.42,24,24.29,14.86,359.93,,34.92,10.01,3.04,,0.98,2.19,Bug'doy
NTTM-111,0-20 sm,Gill,8.64,2.22,4.89,1.64,15.94,31.74,20.22,381.36,394.77,37.36,8.05,1.61,8.57,,2.09,Bug'doy
NMNX-1225,0-20 sm,Gill,8.1,1.11,1.66,1.37,24.7,47.66,26.93,415.02,386.4,35.14,6.45,3.14,9.06,0.9,2.41,Bug'doy
NTXM-150,0-20 sm,Gill,6.33,,0.86,1.53,29.4,63.01,32.35,380.91,352.45,33.46,11.8,1.22,6.21,1.26,1.62,Bug'doy
NMNX-142,0-20 sm,Gill,7.67,1.66,3.34,1.51,23.65,37.03,21.23,361.62,338.66,36.03,11.71,1.65,7.62,0.91,2.25,Bug'doy
NTXM-151,0-20 sm,Gill,7.31,2.29,4.7,1.57,16.12,30.49,17.56,352.09,330.94,36.08,10.45,2.69,8.09,1.27,1.74,Bug'doy
NMNT-143,0-20 sm,Gill,7.05,1.35,3.88,1.56,19.98,28.75,17.88,334.16,330.17,38.02,11.24,0.66,9.03,0.86,1.7,Bug'doy
NTTM-112,0-20 sm,Gill,8.58,0.89,4.59,1.6,29.62,23.53,14.86,366.35,325.16,33.2,8.33,0.56,6.43,0.6,,Bug'doy
NMNX-1226,0-20 sm,Gill,8.95,1.06,3.56,1.62,17.62,21.27,15.04,343.47,322.25,39.59,8.06,2.1,8.66,1.05,,Bug'doy
NMNX-1347,0-20 sm,Gill,6.79,1.79,2.88,1.63,13.96,33.2,17.35,322.99,326.8,32.46,10.11,1.46,6.79,1.04,0.56,Bug'doy
NTXM-151,0-20 sm,Gill,8.1,2.03,4.32,1.54,17.06,29.68,16.75,322.8,293.01,30.13,5.68,1.92,10.43,0.88,1.5,Bug'doy
NMNT-144,0-20 sm,Gill,8.74,,4.81,1.58,14.1,11.8,9.95,325.9,317.83,38.54,10.92,3.6,9.56,0.85,2.98,Bug'doy
NTTM-113,0-20 sm,Gill,8.51,1.91,3.76,1.6,29.18,27.93,19.25,374.81,353.41,35.67,8.82,2.51,9.45,0.95,1.06,Bug'doy
NMNX-1227,0-20 sm,Gill,7.83,0.53,0.91,1.49,22.35,49.37,27.44,406.85,348.81,40.23,7.79,3.76,5.45,0.69,1.33,Bug'doy
NMNX-1348,0-20 sm,Gill,7.12,2.05,1.15,1.32,20.89,48.65,26.18,369.46,339.37,36.21,8.77,0.72,7.07,0.61,2.49,Bug'doy
NTXM-152,0-20 sm,Gill,8.56,1.14,3.09,1.31,13.89,36.31,20.7,399.93,365.37,39.35,10.33,3.93,7.64,0.88,1.47,Bug'doy
NMNT-145,0-20 sm,Gill,6.03,1,4.18,1.55,22.12,53.47,30.02,371.92,352.16,30.08,9.54,0.9,8.47,0.71,2.41,Bug'doy
NTXM-153,0-20 sm,Gill,8.63,0.97,2.76,1.54,20.34,35.83,21.28,375.64,361.05,44.17,7.08,1.3,7.42,0.57,2.61,Bug'doy
NMNX-145,0-20 sm,Gill,8.29,2.04,4.15,1.51,14.33,41.04,23.6,388.66,348,35.94,10.2,2.73,8.02,0.45,1.76,Bug'doy
NTTM-115,0-20 sm,Gill,7.85,1.96,3.63,1.44,23.78,35.37,21.77,372.18,364.33,42.7,11.57,2.55,8.9,0.79,1.4,Bug'doy
NMNX-1229,0-20 sm,Gill,8.81,0.72,4.89,1.64,14.51,15.91,11.09,344.32,327.97,30.02,8.56,1.05,8.1,0.71,2.32,Bug'doy
NMNX-1350,0-20 sm,Gill,7.06,,3.28,1.54,17.14,46.91,23.67,331.82,327.77,31.73,12.79,2.35,8.76,1.16,2.38,Bug'doy
NTXM-154,0-20 sm,Gill,6.33,1.87,3.46,1.47,26.17,40,22.23,382,365.71,41.64,9.33,0.67,8.6,1.04,2.37,Bug'doy
TSPD-2003,0-20 sm,Gill,7.48,1.2,4.58,1.62,21.04,29.26,18.25,340.32,309.87,42.99,12.18,1.6,7.01,0.64,2.66,Bug'doy
Karta-114,0-20 sm,Gill,6.76,0.93,3.48,1.63,21.08,23.96,13.45,337.16,310.1,30.15,9.6,2.98,9.68,1.03,0.72,Bug'doy
NMNX-1471,0-20 sm,Gill,6.34,1.39,1.87,1.41,28.25,39.56,21.75,323.55,341.78,39.4,10.95,2.89,9.62,0.99,1.66,Bug'doy
NMNX-1592,0-20 sm,Gill,8.64,1.96,3.85,1.58,18.76,32.09,18.7,379.55,336.72,37.32,8.57,3.5,9.87,1.05,1.4,Bug'doy
Karta-115,0-20 sm,Gill,8.26,0.81,3.66,1.57,18.53,18.88,12.15,309.26,305.26,37.38,7.17,0.95,7.16,,0.94,Bug'doy
NMNX-1713,0-20 sm,Gill,7.72,2.33,2.24,1.46,25.94,47.82,25.79,397.39,377.04,33.4,10.73,2.84,8.07,0.79,2.79,Bug'doy
Karta-116,0-20 sm,Gill,8.34,1.23,2.88,1.56,25.27,41.77,22.39,380.06,355.2,34.96,12.1,2.15,7.07,0.86,1.55,Bug'doy
NMNX-1955,0-20 sm,Gill,6.86,0.55,3.16,1.41,19.98,57.61,29.68,380.93,347.46,44.15,10.13,3.74,6.21,0.78,2.86,Bug'doy
NTXM-157,0-20 sm,Gill,8.38,0.45,4.92,1.62,16.46,15.43,12.93,326.9,313.6,39.02,11.13,1.59,8.43,0.84,1.37,Bug'doy
NTTM-119,0-20 sm,Gill,7.32,1.79,2.19,1.58,27.14,60.97,31.68,418.92,396.28,33.73,11.63,3.04,8.34,0.84,2.61,Bug'doy
TSPD-2007,0-20 sm,Gill,7.55,2.21,3.67,1.25,25.53,52.36,29.16,399.93,380.08,33.76,7.45,0.79,8.1,0.73,1.74,Bug'doy
Karta-118,0-20 sm,Gill,8.4,1.96,2.58,1.52,27.38,27.86,18.18,365.63,350.97,30.25,10.01,1.97,7.08,0.53,2.25,Bug'doy
NMNX-1234,0-20 sm,Gill,7.91,1.41,2.97,1.57,19.89,17.24,11.16,340.04,321.85,30.22,7.82,1.04,7.67,0.45,0.72,Bug'doy
NMNX-139,0-20 sm,Gill,7.05,2.51,2.46,1.54,21.09,32.8,18.11,352.32,318.97,38.96,7.16,3.72,8.71,0.99,2.3,Bug'doy
NTXM-149,0-20 sm,Gill,6.97,0.78,2.08,1.43,21.26,31.47,18.14,332.58,318.86,41.69,8.37,3.24,,0.71,3.14,Bug'doy
NMNX-1465,0-20 sm,Gill,7.99,2.02,1.1,1.37,14.52,54.18,29.58,418.9,380.28,39.34,13.39,2.41,7.05,0.99,2.06,Bug'doy
NMNX-1586,0-20 sm,Gill,7.46,0.45,3.1,1.52,20.42,40.49,26.31,357.87,352.11,39.2,11.55,1.15,8.56,0.53,0.99,Bug'doy
NTXM-149,0-20 sm,Gill,6.57,1.2,2.5,1.34,17.63,39.6,21.79,377.31,339.35,37.67,11.09,1.98,,0.74,,Bug'doy
NTXM-150,0-20 sm,Gill,8.41,1.5,3.21,1.46,11.99,32.27,18.98,371.41,346.88,34.48,10.01,1.4,6.41,0.41,1.39,Bug'doy
NTXM-151,0-20 sm,Gill,8.3,1.19,4.16,1.61,29.28,18.03,12.65,313.13,307.22,42.45,7.84,1.57,8.85,0.58,2.19,Bug'doy
NTTM-112,0-20 sm,Gill,8.95,1.79,4.5,1.57,13.09,22.82,12.22,343.07,327.33,30.22,9.44,2.33,8.43,0.76,1.87,Bug'doy
NMNX-1467,0-20 sm,Gill,7.7,,1.57,1.52,15.97,43.58,22.6,345.07,312.08,37.67,10.11,2.45,9.39,0.31,1.6,Bug'doy
NTXM-151,0-20 sm,Gill,6.78,1.34,1.89,1.47,19.23,67.49,36.16,452.7,389.08,41.58,10.65,2.6,7.7,0.81,2.13,Bug'doy
NMNX-143,0-20 sm,Gill,6.69,1.06,2.14,1.42,29.94,34.38,21.17,361.59,333.73,40.51,9.95,1.45,6.39,0.77,0.8,Bug'doy
NMNT-144,0-20 sm,Gill,6.64,1.23,1.6,1.4,28.4,57.8,28.98,375.93,346.61,33.48,12.77,0.74,6.69,0.44,,Bug'doy
NTTM-113,0-20 sm,Gill,7.71,1.58,3.45,1.61,12,34.23,22.29,348.68,342.24,36.24,8.84,2.2,8.02,1.05,2.07,Bug'doy
NTXM-151,0-20 sm,Gill,6.56,1.33,1.5,1.42,24.49,59.47,32.96,435.88,398.02,42.46,8.14,1.72,8.6,1.01,2.45,Bug'doy
NTXM-152,0-20 sm,Gill,8.63,1.6,3.42,1.56,29.6,15.98,13.51,340.73,333.22,35.88,6.99,2.07,7.79,0.98,1.02,Bug'doy
NMNT-144,0-20 sm,Gill,6.1,0.76,2.52,1.34,26.07,52.38,31.34,412.55,364.39,35.51,11.4,2.09,7.61,1.01,,Bug'doy
NTTM-113,0-20 sm,Gill,7.61,1.89,3.08,1.51,17.85,37.85,22.2,353.99,334.3,36.99,8.93,3.71,9.8,0.64,1.74,Bug'doy
NTXM-153,0-20 sm,Gill,8.47,1.5,4.43,1.62,17.85,20.6,12.67,341.91,321.2,39.44,10.28,1.69,8.24,0.52,2.87,Bug'doy
NTTM-114,0-20 sm,Gill,7.37,1.38,4.06,1.51,25.3,52.26,26.56,407.24,359.22,41.65,8.14,0.52,6.2,0.9,,Bug'doy
NMNX-1710,0-20 sm,Gill,8.49,0.73,4.08,1.34,16.49,32.29,18.37,355.1,337.34,37.24,11.41,3.11,8.33,0.92,2.34,Bug'doy
NTXM-153,0-20 sm,Gill,8.77,1.24,3.68,1.43,15.67,39.34,21.07,351.65,336.18,40.88,7.74,3.31,7.46,0.85,3.33,Bug'doy
NMNX-1589,0-20 sm,Gill,8.08,0.8,4.04,1.56,10.71,20.98,14.87,353.07,347.7,38.38,9.93,3.19,7.98,0.52,2.2,Bug'doy
NTXM-153,0-20 sm,Gill,8.82,2.19,1.47,1.49,13.73,33.21,18.2,418.01,365.26,35.3,9.57,3.54,7.28,0.56,1.93,Bug'doy
NMNT-145,0-20 sm,Gill,7.7,1.55,4.63,1.45,28.88,28.34,15.8,341.58,325.34,35.84,7.25,3.64,6.07,0.53,2.09,Bug'doy
NTTM-114,0-20 sm,Gill,6.71,0.83,2.49,1.59,15.3,41.98,25.04,359.77,325.6,34.23,9.94,1.76,6.38,1.22,1.1,Bug'doy
NMNX-2072,0-20 sm,Gill,7.14,1.69,3.73,1.37,24.26,47.95,26.02,348.29,294.66,37.38,8.21,0.65,7.36,0.82,1.74,Bug'doy
NTXM-153,0-20 sm,Gill,8.54,1.62,0.79,1.52,17.37,58.54,32,430.26,353.15,41.78,10.84,3.09,7.85,1.09,2.64,Bug'doy
NMNX-145,0-20 sm,Gill,6.65,0.43,3.13,1.5,14.5,57.24,30.93,408.55,398.3,36.55,8.61,3.19,9.13,0.91,2.51,Bug'doy
NTTM-115,0-20 sm,Gill,6.51,2.26,1.38,1.37,21.89,38.98,23.16,377.1,349.03,32.76,9.99,2.19,7.55,0.66,1.08,Bug'doy
NTXM-154,0-20 sm,Gill,8.23,0.61,4.06,1.55,22.67,32.38,19.05,336.63,331.4,43.11,7.79,0.95,7.99,0.84,1.73,Bug'doy
NMNX-146,0-20 sm,Gill,6.78,1.86,4.6,1.57,25.97,20.75,15.41,313.95,310.13,39.94,13.71,0.56,8.16,0.89,1.64,Bug'doy
NMNX-1590,0-20 sm,Gill,7.18,0.86,4.42,1.51,19.89,46.67,25.16,378.8,329.8,31.58,9.31,3.26,9.5,0.77,1.49,Bug'doy
NTXM-153,0-20 sm,Gill,6.84,2.02,4.41,1.6,19.79,29.8,15.83,343.79,347.84,33.38,7.93,2.34,,1.1,1.58,Bug'doy
NMNX-145,0-20 sm,Gill,8.57,1.87,4.93,1.64,25.19,33.19,18.53,344.51,303.1,31.34,11.06,3.58,6.72,0.47,2.49,Bug'doy
NTXM-154,0-20 sm,Gill,7.47,0.76,3.97,1.62,15.95,39.17,20.38,357.7,316.98,30.44,5.7,2.21,5.85,1.02,1.2,Bug'doy
NTTM-115,0-20 sm,Gill,7.12,1.63,4.41,1.54,21.18,29.56,17.31,295.52,273.89,34.83,7.09,2.24,10.17,1.21,1.51,Bug'doy
NMNX-2193,0-20 sm,Gill,7.75,1.01,4.58,1.47,20.82,30.95,19.66,386.07,364.39,31.08,8.9,2.94,6.88,1.06,2.41,Bug'doy
NTXM-154,0-20 sm,Gill,8.77,1.45,4.75,1.57,29.05,24.95,16.41,352.04,341.26,42.7,8.29,3.86,5.14,0.63,,Bug'doy
NMNX-146,0-20 sm,Gill,6.38,1.33,2.49,1.47,15.39,58.19,27.09,402.92,368.32,36.74,9.78,3.31,9.77,1.06,1.25,Bug'doy
NTXM-155,0-20 sm,Gill,8.53,1.02,4.06,1.42,22.4,26.59,17.07,348.91,338.57,37.56,9.66,,7.08,0.63,2.05,Bug'doy
NMNT-147,0-20 sm,Gill,8.46,0.71,2.97,1.3,10.6,44.83,24.26,399.96,372.55,33.34,9.41,1.77,9.57,0.53,1.39,Bug'doy
NTTM-116,0-20 sm,Gill,6.92,0.92,4.22,1.62,23.05,36.06,22.57,335.02,328.3,31.97,10.38,2.93,7.61,0.67,1.96,Bug'doy
NTXM-155,0-20 sm,Gill,8.17,1.25,3.88,1.44,26.97,18.85,15.07,330.39,308.4,30.35,9.19,2.86,7.98,1.05,1.46,Bug'doy
NMNX-147,0-20 sm,Gill,8.88,0.88,4.78,1.6,19.51,25.59,15.73,331.1,312.8,37.63,12.01,2.66,7.27,0.95,2.88,Bug'doy
NMNX-1591,0-20 sm,Gill,6.79,0.87,1.09,1.5,18.39,34.88,19.67,374.16,367.88,30.27,10.53,3.7,8.58,0.28,1.27,Bug'doy
NTXM-154,0-20 sm,Gill,7.68,1.87,4.28,1.58,20.76,24.14,13.96,350.63,295.86,34.86,8.05,2.68,8.05,1.13,2.45,Bug'doy
NMNX-146,0-20 sm,Gill,7.91,0.46,2.99,1.56,25.1,22.9,14.29,338.55,299.5,38.24,8.48,3.64,6.28,0.58,1.95,Bug'doy
NMNT-147,0-20 sm,Gill,7.1,1.56,4.39,1.35,17.85,61.61,30.84,428.81,385.62,35.98,10.6,1.27,8.02,0.75,2.57,Bug'doy
NTTM-116,0-20 sm,Gill,8.39,1.25,4.28,1.6,22.4,24.3,14.8,312.26,266.67,38.21,11.19,3.49,6.38,0.71,2.11,Bug'doy
NMNX-2435,0-20 sm,Gill,6.92,1.09,3.98,1.43,24.75,39.94,21.91,400.74,368.37,35.29,7.61,2.32,8.86,0.93,1.52,Bug'doy
NMNX-2556,0-20 sm,Gill,7.8,1.41,4.26,1.62,14.44,34.65,17.67,333.01,307.03,39.46,9.27,1.98,7.95,1.16,2.18,Bug'doy
NTXM-155,0-20 sm,Gill,6.71,,4.61,1.54,12.79,40.63,20.87,362.75,325.16,33.78,9.49,3.43,9.33,1.29,2.02,Bug'doy
NMNX-147,0-20 sm,Gill,7.93,1.76,4.11,1.6,24.67,33.32,18.4,370.53,344.45,35.17,9.72,1.98,8.87,0.91,1.21,Bug'doy
NMNT-148,0-20 sm,Gill,8.26,1.5,2.46,1.55,12.87,46.39,25.12,414.65,355.43,34.98,11.22,0.99,8.35,1.03,1.17,Bug'doy
NTTM-117,0-20 sm,Gill,8.3,1.23,3.98,1.63,25.01,30.31,16.69,352.57,339.94,31.64,6.32,0.78,7.7,1.01,2.69,Bug'doy
NMNX-2557,0-20 sm,Gill,7.6,1.03,4.44,1.54,20.19,25.22,17.09,353.25,340.24,33.03,7.52,1.72,7.45,1.05,2.62,Bug'doy
NMNX-148,0-20 sm,Gill,8.04,1.4,4.55,1.6,15.78,22.51,13.56,335.27,327.58,36.13,9.68,3.9,6.81,1.14,,Bug'doy
NMNX-1592,0-20 sm,Gill,8.42,2.43,4.5,1.64,11.65,28.63,18.24,384.82,,33.15,11.61,1.22,7.53,0.93,2.85,Bug'doy
NMNX-147,0-20 sm,Gill,7.99,1.17,2.61,1.58,23.64,38.81,21.28,379.43,354.32,39.8,10.56,2.34,6.93,0.53,1.43,Bug'doy
NTXM-156,0-20 sm,Gill,7.35,1.14,2.17,1.46,22.19,33.18,20.14,338.58,328,33.43,10.8,3.91,7.9,1.05,2.53,Bug'doy
NMNT-148,0-20 sm,Gill,8.38,0.66,2.23,1.43,13.24,52.94,28.35,443.59,424.23,31.16,12.29,3.53,8.41,0.64,1.05,Bug'doy
NTXM-156,0-20 sm,Gill,8.69,1.33,3.81,1.59,29.51,12.09,11.63,299.79,270.86,35.28,7.84,3.03,9.22,0.82,,Bug'doy
NMNX-148,0-20 sm,Gill,7.71,1.26,1.49,1.46,17.66,42.29,26.12,389.78,355.67,36.24,8.07,3.85,,0.95,1.73,Bug'doy
NTXM-157,0-20 sm,Gill,7.19,1.33,2.6,1.5,24.15,40.3,22.71,372.35,352.81,42.2,8.35,3.39,9.19,0.88,1.93,Bug'doy
NTTM-118,0-20 sm,Gill,8.3,1.52,4.83,1.57,18.03,45.61,24.88,363.77,344.58,32.31,7.7,2.92,8.1,0.95,2.07,Bug'doy
NMNX-2799,0-20 sm,Gill,7.5,1.38,2.43,1.35,14.27,54.19,28.97,390.73,361.54,38.22,7.59,1.3,7.54,0.38,1.68,Bug'doy
NTXM-157,0-20 sm,Gill,7.52,0.6,2.02,1.63,14.87,26.77,16.05,317.86,314.29,40.11,7.76,2.51,7.46,1.07,0.81,Bug'doy
NTXM-156,0-20 sm,Gill,8.89,0.52,4.6,1.56,18.5,21.17,15.85,325.86,287.84,31.98,8.75,,8.66,0.94,1.84,Bug'doy
