"Sample","Layer (cm)","Mechanical composition","pH","Humus (%)","Soil EC (mS/cm)","Soil density (g/cm³)","CF (%)","N (mg/kg)","P (mg/kg)","K (mg/kg)","Mg (mg/kg)","Microorganisms  (CFU/g)","S (mg/kg)","Fe (mg/kg)","Zn (mg/kg)","Mn (mg/kg)","Cu (mg/kg)","B (mg/kg)","Crop"
"NTXM-168","0-20","sandy","7.68","1.24","1.12","1.62","16.61","26.54","14.84","375.92","360.61","23749871.56","446.33","11.02","3.49","4.93","1.08","2.88","Wheat"
"Karta-1/37","0-20","Clay","8","1.06","0.53","1.57","22.59","19.06","13.72","322.85","319.4","38065714.11","426.71","5.46","3.42","4.7","0.57","1.74","Wheat"
"NTXM-168","0-20","Clay","7.6","1.11","0.59","1.49","27.43","35.46","21.13","395.48","366.76","22839428.46","420.54","7.52","2.41","5.99","1.12","2.37","Wheat"
"soil-sampl/28","0-20","Loamy","7.9","0.78","0.76","1.3","12.74","69.53","35.29","430.57","422.91","9135771.39","439.22","14.13","0.78","5.79","1.21","","Corn"
"Karta-1/38","0-20","sandy","7.87","1.21","1.12","1.48","22.56","78.14","40.35","457.97","421.47","49601090","391.3","15.48","0.81","5.56","0.73","1.22","Corn"
"NTXM-169","0-20","sandy","7.57","1.68","1.34","1.59","21.84","41.82","26.08","399.94","346.81","29760654","","8.39","2.42","3.2","1.02","1.65","Wheat"
"Karta-1/38","0-20","sandy","7.8","1.79","1.69","1.56","24","27.72","17.72","396.63","389.38","11904261.6","398.85","8.15","3.11","3.17","0.92","1.81","Wheat"
"NTXM-169","0-20","sandy","8.3","0.55","1.56","1.49","25.8","34.02","18.12","356.75","341.62","40859471.13","423.41","8.86","2.04","3.25","1.04","2.2","Wheat"
"soil-sampl/29","0-20","Clay","7.85","2.76","1.48","1.31","26.34","75.89","39","468.58","417.75","24515682.68","411.91","10.3","2.81","5.07","0.52","1.03","Corn"
"Karta-1/39","0-20","Loamy","8.95","0.45","1.85","1.36","22.37","81.21","42.21","484.48","448.13","9806273.07","412.67","8.84","2.37","5","0.42","2.2","Corn"
"NTXM-170","0-20","Clay","9.5","0.92","0.57","1.6","15.16","16.42","12.83","361.92","316.27","10803181.57","447.66","8.07","0.66","4.91","0.97","2.65","Wheat"
"Karta-1/39","0-20","sandy","10.05","1.1","0.63","1.46","15.11","23.25","16.84","321.45","289.55","6481908.94","445.83","9.57","1.21","4.9","0.87","2.87","Wheat"
"NTXM-170","0-20","Clay","7.8","0.31","0.84","","29.45","83.23","39.89","502.96","455.32","2592763.58","395.23","11.26","2.67","5.22","","2.06","Corn"
"soil-sampl/30","0-30","Gill","7.9","1.97","1.45","1.48","22.47","41.74","24.23","397.06","376","71609531.24","448.55","6.48","3.5","4.81","0.94","1.68","Wheat"
"Karta-1/40","0-30","Gill","7.6","2.41","1.54","1.42","18.75","61.97","31.51","407.15","379.27","","406.66","7.51","2.18","5.68","0.77","0.64","Wheat"
"NTXM-171","0-20","Clay","7.6","0.84","1.72","1.27","14.75","70.45","36.03","443.42","410.02","","448.47","12.57","1.06","6.05","1.02","0.95","Corn"
"Karta-1/40","0-20","Clay","7.9","2.06","1.05","1.24","25.95","90.85","46.38","453.22","424.79","57742358.64","448.18","11.32","0.86","5.97","1.09","2.11","Corn"
"NTXM-171","0-20","sandy","8","1.93","1.18","","26.96","90.88","46.41","522.88","473.4","","386.53","8.73","1.1","7.86","1.22","2.75","Corn"
"soil-sampl/31","0-20","Clay","8.1","1.23","1.14","1.59","20.05","19.65","13.06","335.6","","","400.53","10.26","1.86","7.53","0.99","","Wheat"
"Karta-1/41","0-20","Loamy","7.9","0.84","0.91","","17.76","92.89","44.67","516.14","456.02","62537730.15","428.28","12.89","2.8","7.6","0.98","","Corn"
"NTXM-172","0-20","Loamy","8.4","1.56","1.19","1.3","18.79","62.44","32.03","403.82","375.07","37522638.09","456.82","8.72","1.96","7.39","0.68","1.53","Corn"
"Karta-1/41","0-30","Gill","8.1","0.9","1.29","1.41","17.45","15.39","12.35","313.35","","15009055.24","399.03","9.85","3.29","7.55","0.54","1.09","Wheat"
"NTXM-172","0-20","sandy","8.2","1.32","1.3","1.52","23.59","36.78","20.65","353.66","356.66","27019960.52","379.99","","1.89","7.66","0.98","1.78","Wheat"
"soil-sampl/32","0-20","sandy","7.9","0.76","1.47","1.65","16.5","18.69","10.41","306.19","302.88","16211976.31","355.84","10.01","3.23","6.5","0.46","2.19","Wheat"
"Karta-1/42","0-20","Gill","7.9","","1.65","1.46","21.2","54.14","27.64","404.23","352.41","6484790.52","435.51","9.6","0.86","6.66","0.96","2.5","Wheat"
"NTXM-173","0-20","sandy","7.6","1.66","1.4","1.31","18.55","68.7","36.04","446.76","390.26","49246726.4","397.6","8.6","2.6","6.3","1.24","","Corn"
"Karta-1/42","0-20","sandy","7.8","0.97","1.52","1.35","29.66","67.2","35.24","445.14","409.17","29548035.84","396.22","10.73","0.76","5.94","0.53","0.97","Corn"
"NTXM-173","0-20","Loamy","8.1","1.06","1.69","","12.59","90.65","46.38","502.23","454.82","11819214.34","433.12","11.37","2.96","6.4","0.81","0.85","Corn"
"soil-sampl/33","0-20","sandy","7.6","2.25","0.92","1.47","21.22","66.99","34.95","451.11","413.32","","395.51","10.58","3.01","7.06","0.62","2.42","Corn"
"Karta-1/43","0-20","Gill","7.9","1.52","1.04","1.4","14.13","15.84","13.41","324.85","312.03","56787516.76","466.89","7.54","1.52","3.65","1.19","1.43","Wheat"
"NTXM-174","0-20","Gill","7.8","1.25","1.29","1.59","27.24","51.44","26.73","376.01","340.64","22715006.7","409.08","11.93","3.34","3.75","1.33","2.29","Wheat"
"Karta-1/43","0-20","Clay","7.9","0.96","1.15","","15.47","65.58","34.39","437.41","418.5","26133369.43","474.97","8.65","3.75","3.5","0.89","1.46","Corn"
"NTXM-174","0-20","Gill","7.63","2.18","1.21","1.44","16.48","32.79","20.79","315.74","291.98","15680021.66","467.52","11.28","3.89","5.84","1.04","1.04","Wheat"
"soil-sampl/34","0-20","Gill","7.72","0.65","1.54","1.55","22.09","42.8","22.97","350.61","339.55","6272008.66","432.04","7.46","1.37","6.42","1.03","2.24","Wheat"
"Karta-1/44","0-20","sandy","7.53","1.29","1.91","1.26","14.39","83.02","44.22","506.67","436","38595475.34","362.64","13.12","1.07","6.49","0.55","2.35","Corn"
"NTXM-175","0-20","Gill","7.52","0.6","1.97","1.52","28.69","33.19","19.48","373.62","328.8","23157285.2","380.33","6.28","0.5","6.12","1.14","1.47","Wheat"
"Karta-1/44","0-20","Gill","7.77","1.55","2.44","1.43","16.73","60.76","31.11","394.09","363.1","9262914.08","461.48","7.35","3.9","5.92","0.88","2","Wheat"
"NMNX-141","0-30","Loamy","8.02","2.03","2.7","1.33","17.34","54.95","30.53","441.75","435.56","87053771.36","457.42","11.16","1.59","5.92","0.78","0.84","Cotton"
"NTXM-150","0-20","Gill","7.72","1.09","2.28","1.45","28.73","50.71","26.87","384.31","353.18","52232262.81","426.16","6.61","1.22","4.37","0.85","1.17","Wheat"
"NMNT-142","0-20","Gill","7.51","1.9","2.42","1.5","18.43","16.7","11.6","297.05","277.4","20892905.13","397.4","14.69","0.56","4.75","1.11","2.21","Wheat"
"NTTM-111","0-20","Loamy","7.53","1.42","2.46","1.32","29.29","65.54","34.78","445.27","427.31","113424718.95","400.1","6.48","3.09","4.79","0.72","2.13","Corn"
"NMNX-502","0-20","Loamy","7.58","2.04","2.2","1.33","29.28","66.59","35.82","427.94","391.92","68054831.37","391.23","5.78","3.69","2.18","0.89","1.97","Corn"
"NMNX-623","0-20","Gill","7.9","0.28","2.4","1.63","13.95","21.14","14.71","351.62","339.74","27221932.55","442","10.67","3.76","","0.71","2.04","Wheat"
"NTXM-150","0-20","Gill","7.6","2.15","2.42","1.6","25.96","16.29","11.74","314.07","323.58","39324376.4","388.16","9.91","1.67","2.6","1.3","2.63","Wheat"
"NMNX-142","0-20","Gill","7.9","1.68","2.15","1.53","13.78","50.59","28.81","395.72","369.48","23594625.84","426.98","6.4","1.88","-0.14","0.63","1.59","Wheat"
"NTXM-151","0-20","Gill","8.1","0.96","2.13","1.51","24.46","25.34","17.22","349.45","336.7","9437850.34","462.99","10.74","3.52","-0.14","1.08","1.65","Wheat"
"NMNT-143","0-30","Clay","8","1.95","2.04","1.43","20.95","51.81","29.34","403.68","387","43232178.41","463.85","10.28","1.35","-0.14","1.13","1.56","Cotton"
"NTTM-112","0-20","Loamy","7.6","1.14","2.52","1.28","17.41","89.44","45.03","450.86","410.5","25939307.05","453.49","11.95","1.75","0.02","0.92","1.99","Corn"
"NMNX-503","0-20","Loamy","7.9","0.59","2.36","1.3","16.48","97.66","49.01","494.88","461.64","10375722.82","407.32","8.29","1.99","0.01","0.81","1.2","Corn"
"NMNX-624","0-20","Gill","7.8","1.03","3.16","1.64","13.65","18.49","13.54","348.68","321.87","36101683.85","460.72","8.01","3.6","0.01","1.24","2.06","Wheat"
"NTXM-151","0-20","Loamy","7.9","0.37","3.4","1.38","20.46","83.18","43.12","479.5","427.6","21661010.31","448.36","8.24","1.11","1.54","1.13","2.71","Corn"
"TSPD-2000","0-20","Clay","7.8","1.35","2.12","1.24","28.9","95.41","48.68","507.01","450.73","8664404.12","417.76","7.63","3.91","1.43","0.67","1.93","Corn"
"Karta-111","0-20","Loamy","7.6","2.96","2.19","1.3","23.85","68.14","34.5","410.38","371.26","76867698.44","386.26","10.69","3.95","1.43","0.66","2.93","Corn"
"NTTM-113","0-20","Gill","8.2","1.23","2.4","1.55","12.37","63.41","34.03","478.07","429.91","46120619.07","406.01","7.83","1.33","3.44","0.77","2.43","Wheat"
"NMNX-745","0-20","Gill","8.1","1.01","2.39","1.5","28.43","61.33","34.96","431.69","427.88","18448247.63","442.84","9","2.85","3.32","1.11","","Wheat"
"NMNX-866","0-20","Gill","8","2.56","2.99","1.5","27.63","","23.68","357.21","334.42","","377.19","11.22","1.45","3.63","0.9","1.78","Wheat"
"NTXM-152","0-20","Gill","8.1","1.81","2.38","1.64","18.32","","35.57","425.32","400.29","41224044.14","438.34","10.9","2.82","2.95","0.87","2.17","Wheat"
"TSPD-2001","0-20","Gill","8","0.66","2.41","1.47","22.67","","33.31","462.54","433.67","16489617.65","347.34","9.87","0.86","3.19","1.13","2.67","Wheat"
"Karta-112","0-20","Loamy","8.1","2.15","3.68","1.34","13.76","","44.09","506.43","","110414354.01","441.57","11.57","2.16","3.36","0.83","2.07","Corn"
"NTTM-114","0-20","Gill","8","1.37","2.27","1.53","16.08","","12.48","312.34","302.26","66248612.4","454.9","12.48","3.6","4.44","1.02","","Wheat"
"NMNX-987","0-20","Loamy","8.3","1.52","2.66","1.24","22.22","","47.45","487.51","429.6","26499444.96","377.18","6.77","3.15","4.81","0.6","1.42","Corn"
"NMNX-1108","0-20","Gill","8.1","1.48","3.31","1.57","22.72","22.07","14.25","342.91","308.84","57125834.09","","10.33","3.21","5.11","0.58","1.86","Wheat"
"NTXM-153","0-20","sandy","8.3","1.49","2.61","1.33","16.38","77.96","37.8","490","445.82","","379.26","8.77","3.64","","0.78","1.07","Corn"
"TSPD-2002","0-20","Gill","8","1.97","2.94","1.51","23.76","30.96","18.9","329.14","309.61","13710200.18","499.38","","0.83","1.67","0.59","2.45","Wheat"
"Karta-113","0-20","Clay","7.9","0.76","3.63","1.41","17.9","82.34","43.34","498","422.8","","434.48","8.23","2.83","1.71","0.4","2.22","Corn"
"NTTM-115","0-20","Gill","7.8","0.91","2.59","1.4","17.68","59.68","30.29","413.67","345.81","60527820.84","382.88","6.87","1.87","8.82","0.46","1.26","Wheat"
"NMNX-1229","0-20","Loamy","7.8","2.14","2.23","","15.86","91.31","46.4","509.95","445.18","24211128.34","418.69","9.36","3.48","9.01","0.98","1.55","Corn"
"NMNX-1350","0-20","Loamy","8.2","1.32","2.17","1.45","17.55","65.78","35.28","479.01","451.17","25295690.66","405.62","10.36","2.6","10.27","1.13","","Corn"
"NTXM-154","0-20","Gill","7.9","0.71","2.22","1.62","18.75","13.46","11.11","369","345.11","15177414.4","428.88","12.25","1.35","7.07","1.22","2.61","Wheat"
"TSPD-2003","0-20","sandy","7.9","1.64","2.4","1.4","15.93","72.06","35.71","453.45","410.6","6070965.76","400.1","7.38","2.24","7.11","0.95","1.47","Corn"
"Karta-114","0-20","Clay","7.6","0.58","2.3","1.3","22.95","59.05","32.86","470.75","428.84","115508754.28","39.3","6.87","3.04","7.04","0.81","2.21","Corn"
"NTTM-116","0-20","sandy","7.8","0.11","2.52","1.37","18.97","79.87","39.32","486.59","444.68","69305252.57","40.22","7.79","1.77","3.31","1.15","2.03","Corn"
"NMNX-1471","0-20","Loamy","7.8","1.9","2.98","1.47","25.76","76.38","39.64","444.82","425.85","27722101.03","34.81","8.54","1.52","3.53","0.98","1.33","Corn"
"NMNX-1592","0-20","Gill","7.85","1.27","3.43","1.55","21.89","35.87","23.3","375.91","340.77","91517439.57","31.3","","1.67","3.46","0.63","2.6","Wheat"
"NTXM-155","0-20","Clay","7.62","1.06","2.05","1.3","24.25","71.46","38.3","450.09","429.63","54910463.74","41.76","10.22","0.87","2.68","1.04","1.01","Corn"
"TSPD-2004","0-20","Clay","7.67","2.1","2.6","1.34","14.28","78.87","39.59","490.44","458.74","21964185.5","33.45","8.42","2.91","2.84","0.95","1.18","Corn"
"Karta-115","0-20","Clay","7.88","0.62","3","1.27","14.49","75.99","39.56","458.05","435.48","19471552.02","40.49","11.38","1.08","2.86","0.22","1.9","Corn"
"NTTM-117","0-20","Loamy","7.96","1.85","3.4","1.47","23.48","77.18","42.78","448.47","422.32","11682931.21","37.72","11.6","3.48","1.66","0.69","1.91","Corn"
"NMNX-1231","0-20","Gill","7.58","1.92","2.63","1.59","26.25","39.86","20.92","361.19","363.45","4673172.49","38.63","11.95","2","1.64","0.73","2.38","Wheat"
"NMNX-136","0-20","Gill","8.19","2.09","2.82","1.44","20.66","34.94","22.22","367.53","345.28","97718130.79","36.13","9.86","1.39","1.61","","2.42","Wheat"
"NTXM-145","0-30","sandy","8.1","1.48","2.86","1.43","28.73","62.93","32.49","436.87","396.43","58630878.47","37.82","7.72","1.66","6.99","0.85","1.1","Cotton"
"NMNX-137","0-20","Gill","7.9","0.42","2.08","1.28","20.13","42.18","25.15","386.83","345.35","23452351.39","32.12","11.11","0.53","6.9","1.26","0.9","Wheat"
"NTXM-146","0-20","Gill","7.55","0.72","3.04","1.35","15.11","47.94","27.33","387.88","335.99","34659278.32","","10.48","2.48","7.2","0.67","1.73","Wheat"
"NMNT-138","0-20","Gill","7.52","","3.28","1.44","14.24","26.23","16.55","378.33","319.57","","35.01","7.99","2.67","2.51","0.54","2.67","Wheat"
"NTTM-107","0-20","Loamy","7.62","0.57","4.19","1.37","26.35","76.25","39.13","463.56","401.85","8318226.8","31.22","8.09","2.26","2.68","0.57","0.98","Corn"
"NMNX-739","0-20","Gill","8.26","0.82","2.07","1.61","25.58","18.88","14.04","311.27","282.16","136250234.51","39.91","9.47","0.85","2.66","0.82","1.33","Wheat"
"NMNX-860","0-20","Clay","8.4","0.6","2.57","1.33","13.98","62.57","31.87","395.21","341.38","81750140.71","37.42","9.58","0.91","5.98","0.99","2.03","Corn"
"NTXM-146","0-20","Gill","7.58","1.38","3.32","1.45","21.53","23.74","15.36","315.03","288.15","32700056.28","36.77","9.86","0.62","6.39","0.62","1.45","Wheat"
"NMNX-138","0-20","Loamy","7.94","1.17","2.41","1.31","21.6","69.91","34.36","456.9","431.99","74763161.59","45.21","","1.98","","1.02","","Corn"
"NTXM-147","0-20","Loamy","7.85","0.48","2.55","","29.52","90.94","45.97","448.59","403.73","44857896.95","33.04","12.27","1.93","7.48","","0.88","Corn"
"NMNT-139","0-20","Gill","7.67","1.38","3.04","1.38","28.87","59.82","33.17","462.16","416.09","17943158.78","32.91","9.62","2.28","7.47","0.72","2.41","Wheat"
"NTTM-108","0-20","Gill","7.96","1.66","3.06","1.41","15.08","42.37","23.99","374.85","353.14","","30.05","8.83","3.41","7.24","0.7","2.08","Wheat"
"NMNX-740","0-20","Clay","7.7","1.66","3.12","","16.36","79.48","42.92","499.63","442.54","49460867.95","31.93","7.8","3.12","4.73","0.63","0.98","Corn"
"NMNX-861","0-20","Gill","7.61","1.89","3.63","1.58","26.48","38.94","20.14","336.51","312.17","19784347.18","39.48","8.78","1.19","4.5","1.09","2.08","Wheat"
"NTXM-147","0-20","Gill","7.5","1.03","2.69","1.62","25.94","22.68","16.37","298.04","281.03","39157452.91","37.61","6.79","3.9","4.8","","1.82","Wheat"
"NMNX-139","0-20","Gill","7.79","0.75","2.87","1.52","26.26","53.53","29.24","387.86","362.1","","42.86","9.86","0.68","3.77","0.85","1.08","Wheat"
"NTXM-148","0-20","Loamy","7.95","","4","1.49","18.93","89.91","45.97","492.87","446.48","9397788.7","43.8","10.47","1.5","3.5","1.12","1.34","Corn"
"NMNT-140","0-20","Gill","7.76","0.63","2.02","1.42","21.13","54.74","29.63","406.96","364.85","24649436.96","33.9","7.65","2.77","3.61","1.02","1.98","Wheat"
"NTTM-109","0-20","Clay","7.76","0.67","2.1","1.46","15.74","60.38","34.13","450.72","427.35","14789662.18","33.59","8.5","1.3","6.41","1.02","1.75","Corn"
"NMNX-741","0-20","Loamy","7.75","0.52","2.56","1.25","20.9","76","39.28","426.66","395.46","5915864.87","34.61","8.9","3.38","6.34","0.74","2.14","Corn"
"NMNX-862","0-20","Gill","7.53","1.22","2.82","1.43","22.61","24.46","16.16","356.12","320.19","115119380.75","43.05","9.97","2.45","5.9","1.04","1.09","Wheat"
"NTXM-148","0-20","Loamy","7.73","","2.49","1.29","15.87","81.16","40.81","443.99","399.72","69071628.45","","11.02","2.84","5.5","","","Corn"
"NMNX-140","0-20","Gill","7.69","1.25","2.38","1.43","20.14","27.43","19.92","349.58","331.56","27628651.38","","5.46","3.14","5.74","0.91","1.27","Wheat"
"NTXM-149","0-20","Gill","7.86","1.48","2.01","1.57","17.63","24.2","17.76","381.87","374.69","49225780.7","39.13","7.52","0.94","5.39","0.76","","Wheat"
"NMNT-141","0-20","Loamy","7.81","2.1","2.12","","26.92","87.01","45.35","468.05","435.16","29535468.42","40.96","8.39","3.26","4.55","1.15","2.5","Corn"
"NTTM-110","0-20","Gill","7.8","0.56","2.41","1.37","29.01","","16.07","387.71","377.71","11814187.37","30.01","8.15","3.79","4.23","1.24","1.08","Wheat"
"NMNX-742","0-20","Clay","7.84","1.41","2.94","1.36","18.52","83.58","44.66","487","444.55","","35.36","8.86","0.65","4.17","0.79","1.12","Corn"
"NMNX-863","0-20","sandy","8.05","1.67","2.02","1.29","15.66","78.33","40.37","474.12","434.04","62925117.16","38.02","5.18","3.48","2.43","1.07","1.76","Corn"
"NTXM-149","0-20","Gill","7.89","3.24","2.01","1.44","19.63","43.16","22.88","380.55","","25170046.86","32.23","8.01","0.87","2.58","","","Wheat"
"NMNX-141","0-20","Gill","8.12","0.6","2.86","1.48","15.1","34.36","19.44","335.54","305.72","25274507.91","34.37","8.89","1.91","2.55","0.41","2.42","Wheat"
"NTXM-150","0-20","sandy","7.93","1.21","3.42","1.41","14.82","92.65","46.94","489.21","415.53","15164704.74","38.74","12.02","2.2","2.72","0.8","1.78","Corn"
"NMNT-142","0-20","sandy","7.79","1.28","3.54","1.46","15.69","83.2","41.77","455.82","433.57","6065881.9","34.44","9.15","3.55","","1.1","1.02","Corn"
"NTTM-111","0-20","Loamy","7.99","1.19","2.16","","17.38","89","45.5","482.02","432.56","63928475.06","37.47","7.77","1.1","","0.52","1.69","Corn"
"NMNX-743","0-20","sandy","8.08","0.77","2.52","","11.62","89.25","46.55","483.11","421.02","38357085.04","30.88","9.71","1.41","2.78","0.98","2.18","Corn"
"NMNX-864","0-20","Gill","7.9","0.66","2.07","1.49","19.57","38.01","21.36","389.44","324.8","15342834.01","34.15","7.25","2.56","2.65","0.99","3.09","Wheat"
"NTXM-150","0-20","sandy","7.98","1.16","2.45","1.35","24.02","74.16","38.64","451.23","418.93","","40.64","9.99","2.4","2.7","0.87","0.87","Corn"
"NMNX-142","0-20","Gill","7.97","1.01","2.21","1.56","23.06","27.5","16.65","388.87","360.15","88339998.51","38.62","","0.77","2.82","1.03","1.23","Wheat"
"NTXM-151","0-20","Gill","7.84","1.01","2.09","1.58","24.62","57.29","28.22","416.27","","35335999.4","35.8","12.53","1.01","2.59","1.04","1.25","Wheat"
"NMNT-143","0-20","Clay","7.67","1.06","2.13","1.44","22.81","70.29","36.75","422.86","359.29","76475918.9","42.96","8.86","3.53","2.41","0.97","1.91","Corn"
"NTTM-112","0-20","Loamy","7.83","1.43","2.29","1.29","17.89","91.83","48.23","516.57","486.25","45885551.34","36.65","9.42","2.66","8.12","1.24","1.62","Corn"
"NMNX-744","0-20","Loamy","7.77","0.69","2.07","1.29","24.42","63.42","32.5","411.01","376.53","18354220.54","34.05","9.94","2.69","7.77","0.49","1.51","Corn"
"NMNX-865","0-20","Gill","8.12","0.85","2.25","1.56","21.41","19.34","13.47","314.96","296.21","76311899.67","38.26","10.98","3.51","7.19","0.83","","Wheat"
"NTXM-151","0-20","sandy","7.63","0.98","2.57","1.28","10.47","69.14","34.68","420.7","394.44","45787139.8","35.11","10.67","2.87","","1.03","1.95","Corn"
"NMNX-143","0-20","Loamy","7.95","1.58","2.29","1.27","22.54","70.77","37.46","465.89","410.01","18314855.92","","7.91","1.19","5.54","1.12","2.71","Corn"
"NTXM-152","0-20","Gill","7.83","1.52","2.09","1.48","25.85","36.12","20.95","398.72","372.43","82146261.55","40.91","10.08","1.29","5.42","0.39","2.71","Wheat"
"NMNT-144","0-20","Gill","7.52","0.73","2.68","1.62","17.96","19.85","14.15","315.15","274.08","49287756.93","33.97","6.69","3.47","4.43","0.21","2","Wheat"
"NTTM-113","0-30","Loamy","8.09","1.06","3.19","1.28","14.06","68.28","36.38","421.7","377.64","19715102.77","35.44","11.51","0.72","4.59","0.57","2.05","Cotton"
"NMNX-745","0-20","sandy","8.02","1.48","3.61","1.26","24.96","56.63","30.7","409.34","391.28","72741971.43","44.84","7.95","3.2","4.22","1.21","1.13","Corn"
